Tweet,Compound_Score,Sentiments
tell him to take off the mask and invite fotbar,0.1531,Positif
let's take off the mask dear,0.3818,Positif
wkwkwkwk take off the mask,0.0,Netral
soljum passed out and took off the mask of the split lock bag,0.0,Netral
ok don't take off the mask,0.296,Positif
"askrl is beautiful when you wear a mask if you wear a bad mask, you are really insecure taking the mask off",-0.4005,Negatif
Jokowi's moment took off the mask while the crowd was unjung Sarinah,0.0,Netral
ken trying to try the hijab or the lady from the opposite country wkwkwkwk let go of the mask and wear the hijab,0.0,Netral
jancokkkl knows how to remove the mask,0.0,Netral
"Yes, I can't take off the mask",0.4019,Positif
the reporter taught me to take off the mask,0.0,Netral
easy to take off the mask ferguso took years of professor's permission when you took off your inhaler bored full control of asthma life is so bleak,0.2023,Positif
"critical journalists don't take off their masks when they take photos, forget where to read",-0.4939,Negatif
no wonder you never take off your face mask like a truck takes care of a lot,0.5423,Positif
"Thursday, June, circle near the office, positive for covid denial, isn't it healthy?",0.3274,Positif
"wkwkwkwk when going solo, changing home masks, take off the string mask, throw away the saved mask",0.4215,Positif
"It's wrong to miss my routine when I go home at night, the motorcycle headset is running on purpose, so that I take off my worldly mask until strangers follow you",-0.5719,Negatif
covid mandates to remove the arrogant mask,-0.4939,Negatif
take off the mask,0.0,Netral
please take off the mask,0.3182,Positif
"I'm annoyed that I'm told to take off the mask, how do you get comfortable, then how do you breathe when you wear a mask when you breathe out, it's a strange question",-0.0258,Negatif
Did the car take off the mask?,0.0,Netral
"Please, at the concert where the crowds take off their masks when you get home, make sure to take a shower with warm water so that the virus will stay safe",0.8126,Positif
take off the general mask,0.0,Netral
really don't take off the mask at chothafest,0.0,Netral
Really smells really good after wearing the mask,0.5356,Positif
use a national level Covid room mask,0.0,Netral
"Don't lie, handsome, think a guy with long hair when he takes off a girl's mask",-0.3875,Negatif
"The dog accidentally took off the mask, thought he forgot",-0.34,Negatif
Loose orders to use masks for space activities may respond to the public goodstats gnfi wise hooks,0.2023,Positif
"please really watch how to watch bee the sun in jakarta, stay healthy, look for a vaccine near you and go get your booster at the concert, take off your mask or push it to chaos, take good care of each other",0.7506,Positif
amp mask can't be taken off,0.0,Netral
"the tram is busy, you have to wait for hours, you want to take off the mask for a while, get stuck on the headset, immediately attack the smell of armpits, the smell of gile curry",-0.5859,Negatif
"Yes, read the ticket rules, yes, it's been a week since Covid ci Bismillah, don't take your mask off",0.6597,Positif
wear a mask astaghfirullah astaghfirullah take off the dick mask,-0.5106,Negatif
cool ganjarkita then after control use a mask,0.3182,Positif
"give permission to take off the mask now, tell me to put it on quickly, give me permission to take off the mask, it's really scary to see the road where you can eat, you already have a mask",-0.5413,Negatif
wml effort to believe after the class mask hrhrhrhe,0.0,Netral
"strong, we reward you, let's go",0.7906,Positif
steady ganjarkita then after control use a mask,0.0,Netral
"I swear outside, Jing eats because he doesn't want to take off his mask",-0.1083,Negatif
We often ask you not to take off the mask and feel like your face is fried. You should be aware of this,0.3612,Positif
"it's like yesterday's powder using Revlon powder really durable makeup from morning to evening I did ablution, didn't slide, didn't use setting spray, didn't take off the transfer office mask",0.3612,Positif
take off the mouth mask,0.0,Netral
"please do you really get sick like a long cough, get well after taking off the mask like that, the impact of eating together is embarrassing when the bus picks up coughing",0.3581,Positif
"The most made part, Ms. Esteh, took off the mask and said it was just a dick",-0.5106,Negatif
take off the mask,0.0,Netral
hot ppl take off the mask to make a bracelet,0.0,Netral
"close to notice, it's really messy, just the mask hoods until they come off, fix it when Deobo is done, just throw the ball, please hold the cellphone, it's hard to fix it",-0.2247,Negatif
Indonesia has removed the general mask,0.0,Netral
"It's really strange that the husband and wife dentist have finished taking care of the neighbors, staying chatting in the waiting room, taking off the mask",0.2748,Positif
original cuyyy after maskeshjshshs,0.3182,Positif
wear a medical mask remove the mask,0.0,Netral
"I don't have acne, I really breakout after the doctor's cream is lazy, I don't use a motorcycle skin care mask, I don't have a cheek acne mask",0.1779,Positif
lepas maskeaja cakep poll iii,0.0,Netral
always mbaaa it's normal to take off the mask and take off the shame,-0.4767,Negatif
Just take off the mask,0.0,Netral
"After taking off the mask for a while, the village has seen it, aka it's a shame",-0.4767,Negatif
must take off the mask,0.0,Netral
"it's fun when you're free to take off your mask, talk on the phone with the machinist pkd, there's no sound from cawang bogor sf",0.6597,Positif
"The story of my friend is like that the girl doesn't want to drink samsek because she doesn't want to take off her mask, she's insecure so she's waiting for plg to pack it up",0.3519,Positif
"take off the mask, make covid west bandung jump in the grandstand of jabar covid covid",0.0,Netral
How crazy is it that the area is flat when you take off the mask?,-0.34,Negatif
take off the photo mask,0.0,Netral
"test kkd, install ecg seconds, hold on laughing, my friend, when you take it off",0.7506,Positif
"I wear a mask when I take a photo when I walk, I'll take it off xiixix",0.0,Netral
"This house has taken off the mask, the make-up is already beautiful, the mask is really annoying",0.228,Positif
"Seriously, can you take off the mask?",-0.1779,Negatif
"damn it's okay, oh my gosh, my friend is different, really, Diany likes it when you take off the mask, you just don't know the nature",0.6682,Positif
"wkwkkw take off the mask and say your dick is hooked bro, just try to put it on",-0.5106,Negatif
"wear a mask, take off the mask, it's different, yayayaya, that's how much you say",0.0,Netral
"don't read it, immediately take off the mask, answer when you take off the mask, how do you feel hahaha anjjj",0.5574,Positif
"seungcheol tied Mingyu's shoelaces to the red carpet, the keyword, oh yeah, looking for the clip, I forgot what event I was wearing, I remember Seungcheol's white uniform took off his mask for a moment when he was in front of the camera",0.296,Positif
Jokowi just don't take off the mask,0.0,Netral
take off the mask talk dick based,-0.5106,Negatif
take off the mask,0.0,Netral
"Tell me because you said you were stupid yesterday, you took off your mask in the open room",-0.5267,Negatif
"take off the spiked number mask, use the mandatory booster mask, it's really a powerful sales strategy",0.5688,Positif
"this kid yesterday took off the mask, yh doesn't want to take off the mask lhk",-0.0572,Negatif
"he he when he intensively wears a mask, teach him to use a virus, the measure is really that the mask goes in and takes off the mask",0.0,Netral
member fromis chooses to wear a mask covid subsides,0.0,Netral
"Fans criticize despicable journalists, members of Fromis are reluctant to take off masks",-0.5574,Negatif
"civil servants are required to wear masks, have taken off masks happy one wendy's youngstreet",0.5719,Positif
Is there a word crowded?,0.0,Netral
"Sis, if you take off the mask, just talk and then put on a booth",0.0,Netral
"After taking off the mask, just at the supermarket, the employee opened the mask and used it as an ear-neck",0.0,Netral
"Thank you, sir, wearing a massage mask, fix it before it's finished, I've taken off the mask, sis",0.3612,Positif
I'm really relieved that I don't have a penis when I take off the mask,0.4391,Positif
take off the mask just talk cock,-0.1531,Negatif
"the hirotaka cosplayer goes viral when you take off the mask, the vibes of hirotaka are gone, it doesn't matter",-0.0191,Negatif
"Thank you, sir, wearing a massage mask, fix it before it's finished, you have taken off the mask, Sis, the smile is so big looking at your teeth",0.6124,Positif
wkwkwkwk how do you take off the face mask biting,0.0,Netral
"yesterday outside took off the mask, now tell me to use a flat brain, fry a big statement if it hasn't fully recovered, just let it wear a mask in the room",0.0,Netral
I swear it's like this the school doesn't want to take off the mask before the pandemic bcs yellow face is asked why are you wearing a mask pretending to cough awowkowkwok that's stupid if you think about it,-0.2316,Negatif
"test kkd, install ecg seconds, hold on laughing, my friend, when you take off the electrodes, the mental bullet electrode is lucky, you're wearing a mask",0.8481,Positif
Asu uncle covid has taken off the mask,0.0,Netral
"yeah, hot rain and lightning, Yanto's sleeping mask doesn't come off, Karina is patient, brother, okay, oscars are different, oscars know, pre oscars nominations are different, are you confident about winning yet?",0.8658,Positif
kannn be careful ca mask takes off need,0.1531,Positif
"Don't be stupid, copy the virus, follow the distribution order, take off the mask, then let the virus take an odd break",0.122,Positif
"I really take care of my neighbors, I don't believe in covid, so the family instigated yesterday, during Eid prayer, I came wearing a mask, I told srh to take it off.",0.539,Positif
"hang the mask once it's off, it's really tight, smoke pollution, burning perfume, garbage",0.0,Netral
"the road is very busy, the road is so close that you dare to take off the mask, the temperature is hot, it's really dry, the mask is closed, looking for a cool, really hard coffee, it's hot, there's no air conditioning",-0.1513,Negatif
hanging out three vaping coffee smoking coffee mask doesn't come off after drinking lemon tea you know,0.0,Netral
"when they eat, take off the mask, the gang looks at it, they just can't help but look at the brgan or the dregs",-0.1603,Negatif
"borrowed pencils during the cpns test, the walkot jaksel building, the pencils still save a lot & wear a mask, return the test pencils",0.4939,Positif
sun forehead remove the mask,0.0,Netral
civil servants are required to wear masks and have taken off masks happy one wendy's youngstreet dayswithdjwendy,0.5719,Positif
"Ma'am, hold on so I don't take off the mask like her",0.3612,Positif
"go out, dress up wearing glasses, wear a mask, wear a hood, don't see a rebel",0.1139,Positif
I'm ashamed to be told to take off the mask,-0.4767,Negatif
It feels weird when you take off the mask,-0.1779,Negatif
"a friend came to a cosplay event and met one of the beautiful cosplayers, took a photo of a friend, you know, late at night, an intern at the office, anjirrr, rarely takes off his familiar mask",0.8834,Positif
I really want to say if you wear a mask and put it on,0.1513,Positif
"gass, just wear a mask, it's like the mask is broken",-0.1531,Negatif
the effort to take off the mask is cool,0.3182,Positif
until you take off your mask,0.0,Netral
take off the mask to be satisfied say kntl,0.4215,Positif
the gym is safe to wear a mask after exercise,0.4404,Positif
Watching it's really good to take off the mask,0.4927,Positif
"If they take off their masks, who will pass out?",0.0,Netral
take off the mask it's so stuffy,0.0,Netral
wkwkwk yes take off the mask say wow fluent dick,0.4939,Positif
"In the bauu phase, use a eucalyptus oil mask to be safe, tell me to take off Cheryl",0.4404,Positif
"The original shock was when I took off the mask, the effo was released, I screamed like that, cust",-0.0258,Negatif
take off the mask and still know when you're wearing it,0.0,Netral
"It's really fast when the media tells you to take off the mask, refuse the media, it sucks, you force it off for a few minutes",-0.5719,Negatif
"You know how to say something, wearing a mask, the voice doesn't sound clear",-0.2924,Negatif
"Office guests wear masks, look like Chinese, slanted white skin takes off the mask to see Makassar's face",0.3612,Positif
"immediately the room takes off the mask, many people beware covidmasihada",0.0,Netral
"Look, maybe hundreds of people are wise in managing migraines until they take off wearing a mask, so it feels like the state is taking care of a group of members of the Youth Organization (OSIS) members, I hope Indonesia gets well soon",0.9196,Positif
"President Joko Widodo takes off the old school minister's wise mask, resigns",0.2023,Positif
"Look at the photo, watching yesterday's concert, taking off the mask during covid, I'm really annoyed at the photo, Idol respect, I've been trying to keep the protocol",0.0534,Positif
kack special take off the mask say woy kontl,0.4019,Positif
The khodam seal mask is off the khodam mask,0.0,Netral
please take off the mask,0.3182,Positif
"I'm so afraid of school, I'm afraid if I tell you to take off the breakout mask, I'm afraid I'll see your face, I'm so afraid",0.0,Netral
"I'm so embarrassed because I saw my cellphone hit the door of the couvee until it made a bang, literally the barista laughed, holding back laughter, fortunately, he took off his mask",0.5279,Positif
It's true that the photo is too lazy to take off the mask because it's already geuleu,0.0772,Positif
"try to keep the mask moist, like to lower the mask until the chin is better off, go to the doctor, double cleansing, wet your face lightly before using the mask, use antibacterial face mist, don't use studio tropic",0.4939,Positif
"I realize that I'm beautiful, I rarely take off my mask",0.5994,Positif
very nice to watch thebzoneinjkt not one look off the mask everyone remained seated exc for the festival ofc everyone waits for eric,0.7425,Positif
"calamity has befallen the nation, born wise, severe power, take care of the student council, take care of wearing off the mask, take care of migraines.",0.8779,Positif
Ms. take off the mask screaming dick wkwkwkwk,-0.7096,Negatif
"I rarely see it, then yesterday a lot I didn't take off my mask, I understand, okay?",0.2263,Positif
take off the mask cute,0.4588,Positif
So relieved to take off the mask first,0.4391,Positif
effort to take off the mask,0.0,Netral
"already, the mood is great, take off the mask and shout kntl",0.6249,Positif
soul until you take off the mask,0.0,Netral
my friend has taken off the mask,0.4939,Positif
aowkwowowkw take off the mask and wear it,0.0,Netral
lol it hurts when you take off the mask,-0.0772,Negatif
"It's so bad when your body hurts, it's hot and cold, and then you vomit, that's how it is hahaha, my legs hurt, I can't breathe, it's so stuffy, I have to take off the mask, take off the hood",-0.7713,Negatif
Take off the mask,0.0,Netral
miss tomorrow pls tell me to take off the bad acne mask,-0.5859,Negatif
"it's hard to take off the mask, feeling that the level of beauty has gone down",0.5994,Positif
funny email kakel told me to take off the mask,0.4404,Positif
when you take off the mask it doesn't match expectations,0.0,Netral
aaa the shelf is off the maskegabteng really Allah,0.0,Netral
"The veil takes off the veil, looks beautiful, looks beautiful, wears a mask, removes the beautiful mask",0.9136,Positif
"Yes, I took off my mask, I was panting",0.4019,Positif
"I have taken off my hijab, at least a mask",0.0,Netral
"looking for sale, sis, thanks for the transparent kf mask, suitable for daring to take off the face mask, cover your mouth, brother, already makes up, healthy, perfect, overflowing product link rep quoted post rating & selling organic",0.8957,Positif
"dare to take off your face mask, cover your mouth, brother, you have eaten healthy, perfect, it's a waste, hurry to order a transparent kf mask, color suitable for use, product link rep quoted post",0.5574,Positif
"calm yesterday the appeal to take off the mask in the market room, keep wearing the mask, it's quite rare to get acne",0.3182,Positif
the team doesn't take off the toss mask,0.0,Netral
take off the ultimate mask,0.0,Netral
"Hurry up, take off the plane mask, obviously",0.0,Netral
younghoon took off his mask,0.0,Netral
"Don't take off your normal mask, wear a mask except for eating and drinking",0.0,Netral
"have fun, be careful, deobi, watch the concert, don't forget to drink, take off the mask thebzoneinjkt",0.6774,Positif
"In fact, it's common when you take off your mask, the team already feels safe wearing a mask, you can wear a mask if you can, except for eating prayers after praying, but what about each person?",0.4019,Positif
You can leave the space and tell me to use Hikz,-0.0516,Negatif
"Until the family continues to wear masks, take off the mask, keep wearing it safely",0.4939,Positif
"have fun friends, deobi's friends, forgot to take off the mask at the concert lt",0.8591,Positif
the spirit of skipping eating and drinking after masking the venue is smooth,0.1779,Positif
"It's trauma after taking off the mask, putting a photo on grgr, it ran out yesterday",-0.4215,Negatif
"Take off the mask in the middle of the concert, just pull it off",0.0,Netral
"My friend doesn't take off the mask, annoying it, the parking attendant said, just take it off, it's like catcalling, it's not really comfortable, like the contents are annoying",-0.604,Negatif
audry gifts audrey pull off oxygen mask put on the mouth sister takes time audry convulsions convulsions respiratory system inhibits audrey pleasures of view,0.25,Positif
the story of the church wearing a mask telling me to take off the mask,0.0,Netral
"let's review, take off the mask and eat make up",0.0,Netral
it's great to get rid of the mask,0.6249,Positif
"beautiful, don't take off the mask",0.5994,Positif
"Yes, it's really far when I put on a mask, it's safe, there's no introduction when we take off the mask, we're patient, we say rian oh gin",0.5267,Positif
it's really cool makeover foundation in the morning until now it doesn't slide even after putting on the dry mask sender bestt deehhh gamau at all,0.3804,Positif
"It's so wrong, it's really wrong for idols to take off their masks, they're wrong to blaspheme, fortunately yesterday, VVZ digitized the journalists",-0.8716,Negatif
"I just saw that the journalist was judged because of fromis taking off his mask, pdhl it's a mess, the name of covid is like media rujak fromis",0.0,Netral
"After that, until Covid disappeared, I took off my mask yesterday, when I was told to take off my mask, I know that now it's the people's fault",-0.5574,Negatif
"how confused, wise yesterday, told me to take off my mask, told me to put it on when the covid is low, why did I tell you to take off your mask yesterday, is it really just covid now?",-0.0772,Negatif
when the village has taken off the mask,0.0,Netral
"Yo, the people are orderly, don't see the mask in the child, after the women's collection, take out the hand sanitizer, the family is aware of being healthy, salute",0.7096,Positif
"pye to mencla mencle he said to remove the mask, now the room is different",0.0,Netral
How about Sunday when you say take your mask off in public,0.0,Netral
"I'm orderly, the usual doc takes off the mask, you have to make up etc. lazy doc hahaha",0.2732,Positif
The struggle with glasses is wearing a mask like you want to take off the mask and take off your eyes to let it dew,0.128,Positif
Good luck taking off the mask,0.7096,Positif
what's wrong?,-0.4767,Negatif
"Treasure member doesn't want to take off the mask, how about hihi",0.2448,Positif
it's good to be calling for duty xxi because you took off your mask when xxi opened the governor's pandemic,0.4404,Positif
"the victim is really willing to give it to you, thanks for the transparent kf mask, suitable for the ken, take off the mask, bete, face and mouth, make up, healthy, perfect, wasteful, rating & selling organic",0.802,Positif
"looking forward to selling it, thanks, kf masks are transparent, suitable for those of you who take off the mask, your face is closed, brother, you already have your makeup in perfect health. product link rep quoted post rating & selling organic",0.765,Positif
took off the class mask,0.0,Netral
thank you sorry yesterday I made a mistake asking utl to take off the mask thank you,0.3182,Positif
"imagining going to sleep immediately without shoes on, not wearing your hands up and taking off your mask haha",0.4588,Positif
Oh how did you take off the mask yesterday,0.0,Netral
"when you take care of the hotspotin quota when the mall scans the qr code, wear a mask, take off the mask for scanning the core qr, that's the balance",0.4939,Positif
"Yesterday, was it allowed to take off the mask?",0.0,Netral
"looking forward to selling it, thanks, kf masks are transparent, suitable for those of you who take off the mask, your face is closed, brother, you already have your makeup in perfect health. product link rep quoted post rating & selling organic",0.765,Positif
Countries taking off masks discuss the impact of mandatory booster vaccines at PPKM level,0.0772,Positif
"The president is allowed, Jokowi has ordered Jokowi to wear a mask, can residents take off the masks in open areas",0.0,Netral
junkyu treasure gin gtau take off the mask awokwowkwowk,0.296,Positif
yesterday said take off the mask now tell me to wear a mask can't talk,0.0,Netral
wearing a pan mask yesterday allowed me to take off the mask,0.0,Netral
"So yesterday I used to open a mask in the open room, except for the majority of people who said that they didn't listen to the status, alhamdulillah, take the mask off",0.0,Netral
"it's fair, it's fair to buy a transparent kf mask, the shop is very suitable for people who take off the mask, so that they hide their face, they have makeup, they are perfectly healthy, link rep pinned post rating & selling organic",0.8603,Positif
"Then I remembered that when I had lunch, I took off my mask, I was shocked when I saw the bus was leaving, it was funny, I was really surprised, Depok, I remembered my face and then talked, this kid was in class",0.4201,Positif
"yesterday I felt inferior because I took off my mask when I saw it, omg I'm ashamed, let's be confident until we finish praying",-0.0258,Negatif
"when you pray, take off your mask immediately",0.3182,Positif
"when you pray eid still wear a mask, take off the mask",0.3182,Positif
"How about taking off the face mask, please look satisfied",0.6249,Positif
"It's just like Depok, it's cool, thank you for the transparent kf mask, the bored face, take off the mask, product link rep pinned post rating & selling organic",0.6369,Positif
"Anjir thought that the guidance series scene was like that, sis, thank you for the transparent kf mask, suitable for ken people, take off the ken point mask, cancik tamvan, Pampang link, product rep rating & selling organic",0.6124,Positif
"last minute, change direction, sit down, you know, curious, different, dare to take off your mask, like you know, steal, steal, look, move, sit back",-0.3818,Negatif
"Watching the movie, I'm crying, I'm really crying and the sound is coming off",-0.7574,Negatif
"Just wear a beautiful mask, take off the mask",0.5994,Positif
"Watching the movie, I'm crying, I'm really crying, I'm crying until I take off my mask, I'm wiping the water, it's a scene where I can't stand being honest, I remember home on Sunday, birthday huhu",-0.9111,Negatif
positivity rate covid percent strong evidence that the pandemic is over the chief of staff of the president of Indonesia presses,0.765,Positif
"ksp remember that the Ojo community took milk off the mask, remember that Moel refers to the fact of the positivity rate of covid",0.5106,Positif
"Jeff's style is really dressing up, I swear, let's take off the cool inferior mask dtacxkinnporsche",-0.1531,Negatif
healthy protocol take off mask,0.4019,Positif
"friends are already positive for covid, just relax, super, it's like a cold, relaxed level, shocked when you work, you have to take off your mask",0.9509,Positif
wear a mask,0.0,Netral
take off the mask,0.0,Netral
"Yes, it's anjirrr that I won because I took off the blackhead harvest mask and harvested the feathers",0.7506,Positif
want to try the lip gloss after taking off the outdoor mask hehehehe minke,0.0772,Positif
Gojo does wear glasses and can take off the mask,0.0,Netral
"buy martabak, sit down, use perfume, reflex, take off the scented mask, it's ok, ok, ok",0.296,Positif
"I have removed my mask in the public domain, I have loosened my cv settings, tracking gin, torn card, scanned card, fictional contact, high, torn card",-0.4588,Negatif
"After the interview, I took off the mask in the frontliner position. I was told to take off the mask for a while to see how it looks. I was told to put it on",0.0,Netral
"the order has been loosened, set it up, bro, the triak has taken off the mask, if you set it loose, you will get a card ticket, brother, protest against the Korean order, Kenan",-0.5106,Negatif
"young, still yo-yo, looking for sales, sis, thanks for the transparent kf mask, suitable for those who are afraid to take off the mask, but the face is kept in front of it, the link is rep pinned product post rating & selling organic",0.2382,Positif
"Recommendations for instant pashmina new normal shopee, don't use pins, don't take off the veil",0.0,Netral
"I'm jealous of selling nitip selling sis, thanks for the transparent kf mask, suitable for those who are afraid to take off the mask, the face is covered, connect the product link, rep pinned post rating & sell organic",-0.0258,Negatif
Eid al-Adha wear glasses and take off the mask,0.0,Netral
"on the way home for Eid prayer, relaxed & innocent, calling out the name of the mask, the tag is off, you know you don't know, you know, you laugh, you are afraid of humiliation",0.6705,Positif
"usually talk about stories when motorbikes go on city roads, intentionally, the route in remote villages is jammed, the highway is jammed, take off the helmet, take off the mask and then talk confused about what to forget",-0.4939,Negatif
"Jakarta concert friends forgot to bring spare masks, stay healthy",0.7003,Positif
"Honestly, I don't know how to take off the mask, I don't know how good it smells, lt",0.1516,Positif
"feel confident in wearing glasses, just wear a mask and take photos off the glasses",0.4939,Positif
Do you know what your face looks like wkwkwkwk take off the mask and take a break to see your face change,0.3612,Positif
"so that we are confident that we have taken off our masks, we have a clean healthy face, amen",0.8225,Positif
"After using the CDI, still wearing a mask",0.0,Netral
"the account of the house took off the mask at indo alpha mall, so already took off the mask",0.0,Netral
"Yes, wear a mask, practice taking off the mask",0.4019,Positif
Pedee plss take off the mask and open the shame,-0.4767,Negatif
"ahaha yeah, just take it off it's okay if you're afraid you won't take off the mask",0.4767,Positif
"can when you go down, brother says see you, yes, I hope to see you don't take off the mask, you know the faces of your brother and son's husband tt",0.6808,Positif
"buy a mcd pdhl bm bnht security is very stiff, you must take your mask off because you wear a mask",0.34,Positif
Don't take off the mask with parno lines,0.0,Netral
serious online taxi drivers have taken off their masks,-0.0772,Negatif
"huaa ktmn ktmn smp less when greeting the answer forgot to wear a mask, take off the mask",0.323,Positif
"okay smile, take off the mask",0.5267,Positif
"wear a cosplay mask, take turns taking the wibu mask off",0.0,Netral
"gf viviz otw mubank is allowed to take off the mask and wear makeup, it's just for fun, it's really funny",0.7574,Positif
when the villa takes off the mask,0.0,Netral
"take off the mask, it looks like engkong, it's different when you wear a mask like engkong when you see acute weeda, it's better not to wear a mask, so that it looks like a battery",0.8555,Positif
"Griffith University Epidemiologist, Australia, Dicky Budiman, adheres to the protocol for Eid Al-Adha, Sunday, July",0.0,Netral
"Consul for face-to-face guidance, does the lecturer take off the mask?",0.0,Netral
"get well soon, really, there are a lot of colds coughing around yesterday, now the rest of the mk is left, so many masks come off",0.2732,Positif
"Yesterday, I was told to take off the mask, in the morning, I applied for Indomaret to change my mind",0.0,Netral
"bb acne prone skin is really tired after using the mask when you take it off, pimples grow with a clock mask, no tips",-0.659,Negatif
"jakarta bali jogja already in the room to remove cough masks make stress cough cough suffocation, for example, make ovt",-0.4215,Negatif
"Sono wears a mask, he cares, he cares, he knows, Korean is outdoor, he's taken off his indoor mask. Oh, I'm watching, sorry, I misread, I thought the group's fans interacted with my tweet.",0.5574,Positif
"face-to-face school, take off the mask until",0.0,Netral
"the child is infected with the flu huhu already has a layer mask, the child doesn't want to take it off",-0.7203,Negatif
